Game Title ,Release Date,Publisher,Size
Among Us,15-Jun-18,Innersloth,~250 mb
Minecraft,18-Nov-11,Mojang,~525 mb
Stardew Valley,26-Feb-16,Eric Barone,~500 mb
Civilization 5,21-Sep-10,Sid Meier,~8 gb
Disco Elysium ,15-Oct-19,ZA/UM,~20 gb
Undertale,15-Sep-15,Toby Fox 8-4,~200 mb
Terraria,16-May-11,Re-Logic,~200 mb
Cuphead,29-Sep-17,Studio MDHR,~4 GB
Portal 2,21-Apr-11,Valve,~10 GB
Game Dev Tycoon,10-Dec-12,Greenheart Games,~100 MB
Team Fortress 2,10-Oct-07,Valve,~15 GB
PlayerUnknown's Battlegrounds Lite,29-Jun-19,PUBG,~3 GB
VALORANT,2-Jun-20,Riot Games,~15 GB
League Of Legends,7-Oct-08,Riot Games,~8 GB
GTA San Andreas,26-Oct-04,Rockstar Games,~5 GB
